Version,2.1.7,,,,,,,,,,,,,,,,
Release Date,12/12/2010,,,,,,,,,,,,,,,,
Row Labels,Count of File,Count of REF,Count of BUG,Count of Dev#,Count of LoC+,Max of LoC+,Average of LoC+,Count of LoC-,Max of LoC-,Average of LoC-,Max of FCount,Average of FCount,Average of Date,Codechurn,Max Codechurn,Ave Codechurn,Age
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-connector/src/test/resources/META-INF/NOTICE.txt,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-transaction/LICENSE.txt,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-transaction/NOTICE.txt,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-transaction/pom.xml,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-transaction/src/main/java/org/apache/geronimo/transaction/log/HOWLLog.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-transaction/src/main/java/org/apache/geronimo/transaction/log/UnrecoverableLog.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-transaction/src/main/java/org/apache/geronimo/transaction/log/XidImpl2.java,2,2,2,2,2,0,0,2,0,0,89,56.5,09/02/10,4,0,0,14.42857143
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-transaction/src/main/java/org/apache/geronimo/transaction/manager/CommitTask.java,2,2,2,2,2,7,3.5,2,11,5.5,89,46,09/02/10,4,18,4.5,14.42857143
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-transaction/src/main/java/org/apache/geronimo/transaction/manager/ExponentialtIntervalRetryScheduler.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-transaction/src/main/java/org/apache/geronimo/transaction/manager/GeronimoTransactionManager.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
