Developer,Date,Dev#,Msg,File,Action,LoC+,LoC-,REF,BUG,FCount,FJavaCount,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-converter/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-core/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-deploy-config/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-deploy-jsr88/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-deploy-tool/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-deployment/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-derby/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-directory/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-hot-deploy/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-interceptor/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-j2ee-builder/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-j2ee-schema/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-j2ee/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-jetty-builder/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-jetty-clustering-wadi/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-jetty/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-jmx-remoting/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-kernel/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-mail/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-management/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-naming-builder/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-naming/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-persistence-jpa10-builder/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-persistence-jpa10/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-security-builder/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-security/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-service-builder/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-system/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-test-ddbean/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-timer/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-tomcat-builder/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-tomcat/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-transaction/pom.xml, M,0,0,FALSE,FALSE,172,0,,
